,deal_status,single_model,multi_model
1526,lost,0,1
1527,lost,0,1
1528,won,0,2
1529,lost,1,0
1530,won,0,1
1531,lost,1,0
1532,lost,0,1
1533,lost,3,0
1534,lost,0,2
1535,lost,0,1
1536,lost,0,1
1537,lost,1,0
1538,lost,2,0
1539,lost,0,1
1540,lost,0,1
1541,lost,1,0
1542,lost,0,2
1543,lost,1,1
1544,won,0,4
1545,lost,13,0
1546,won,1,1
1547,lost,2,0
1548,lost,2,0
1549,lost,1,0
1550,won,0,1
1551,won,1,0
1552,lost,1,0
1553,lost,2,0
1554,lost,1,0
1555,lost,1,0
1556,lost,0,1
1557,won,0,1
1558,lost,1,0
1559,lost,1,0
1560,lost,1,1
1561,won,0,1
1562,won,1,2
1563,lost,1,0
1564,lost,0,1
1565,lost,0,1
1566,lost,0,1
1567,lost,0,1
1568,lost,1,3
1569,lost,1,0
1570,lost,2,0
1571,won,0,1
1572,lost,1,0
1573,lost,3,1
1574,lost,0,2
1575,won,0,1
1576,won,3,13
1577,lost,0,1
1578,won,4,0
1579,lost,1,0
1580,lost,1,0
1581,lost,0,2
1582,lost,1,0
1583,won,0,1
1584,lost,0,1
1585,lost,3,2
1586,lost,0,1
1587,lost,1,0
1588,lost,0,1
1589,lost,4,0
1590,won,0,1
1591,lost,2,1
1592,lost,1,0
1593,lost,1,0
1594,lost,0,2
1595,won,0,2
1596,won,0,1
1597,won,1,1
1598,lost,1,0
1599,won,6,3
1600,lost,0,1
1601,lost,1,0
1602,lost,0,1
1603,lost,0,2
1604,lost,0,1
1605,lost,0,1
1606,lost,2,1
1607,lost,0,1
1608,lost,0,1
1609,won,0,4
1610,won,0,1
1611,lost,2,0
1612,lost,0,1
1613,lost,0,1
1614,lost,0,2
1615,lost,3,0
1616,won,0,1
1617,lost,3,0
1618,lost,0,1
1619,lost,1,0
1620,won,1,0
1621,lost,0,1
1622,lost,0,1
1623,lost,0,1
1624,lost,1,0
1625,lost,0,4
1626,lost,0,1
1627,lost,0,5
1628,lost,1,0
1629,lost,0,1
1630,lost,0,1
1631,won,2,0
1632,won,0,1
1633,lost,1,0
1634,lost,1,0
1635,lost,1,0
1636,lost,1,0
1637,lost,1,0
1638,lost,1,1
1639,lost,2,0
1640,lost,1,0
1641,lost,1,1
1642,lost,2,0
1643,lost,0,3
1644,won,0,1
1645,lost,0,1
1646,lost,0,1
1647,lost,0,1
1648,won,0,1
1649,lost,0,1
1650,lost,0,1
1651,lost,1,0
1652,lost,1,1
1653,lost,0,1
1654,lost,0,1
1655,won,3,3
1656,won,0,3
1657,lost,0,1
1658,lost,0,1
1659,lost,2,0
1660,lost,2,2
1661,won,0,3
1662,lost,0,1
1663,lost,1,0
1664,lost,0,1
1665,lost,0,1
1666,lost,1,0
1667,lost,3,0
1668,lost,1,0
1669,lost,0,1
1670,lost,1,0
1671,lost,3,1
1672,lost,0,1
1673,lost,0,2
1674,lost,0,1
1675,lost,3,0
1676,lost,1,0
1677,lost,5,0
1678,won,4,0
1679,won,0,1
1680,lost,2,0
1681,lost,1,0
1682,lost,1,0
1683,lost,0,1
1684,lost,0,1
1685,lost,0,1
1686,won,0,1
1687,won,0,1
1688,lost,0,1
1689,lost,0,1
1690,won,1,0
1691,lost,1,0
1692,lost,0,3
1693,lost,0,1
1694,lost,0,1
1695,lost,2,0
1696,lost,5,0
1697,won,0,5
1698,lost,1,1
1699,lost,0,1
1700,lost,1,0
1701,lost,6,8
1702,lost,1,0
1703,lost,1,0
1704,lost,2,0
1705,won,0,1
1706,won,1,1
1707,lost,2,0
1708,lost,1,0
1709,lost,1,0
1710,lost,1,1
1711,lost,0,3
1712,won,0,3
1713,lost,0,2
1714,lost,1,0
1715,lost,0,1
1716,lost,1,0
1717,won,1,2
1718,lost,1,0
1719,lost,0,1
1720,lost,0,1
1721,lost,1,0
1722,lost,1,0
1723,won,0,2
1724,lost,1,0
1725,lost,0,2
1726,won,3,0
1727,lost,1,1
1728,won,0,2
1729,lost,0,3
1730,lost,1,0
1731,lost,0,1
1732,lost,2,0
1733,lost,1,0
1734,lost,1,0
1735,lost,0,1
1736,lost,0,1
1737,lost,0,2
1738,lost,3,0
1739,lost,0,1
1740,lost,1,0
1741,lost,1,0
1742,lost,0,1
1743,lost,1,0
1744,won,0,2
1745,lost,0,1
1746,lost,0,1
1747,lost,0,1
1748,lost,1,0
1749,lost,1,0
1750,won,0,4
1751,lost,0,1
1752,lost,0,2
1753,lost,0,1
1754,lost,3,0
1755,lost,1,1
1756,lost,1,0
1757,lost,1,0
1758,won,9,26
1759,lost,1,0
1760,lost,0,1
1761,lost,0,1
1762,lost,0,1
1763,lost,1,1
1764,lost,0,1
1765,lost,1,0
1766,lost,2,0
1767,lost,1,0
1768,lost,0,1
1769,lost,2,0
1770,lost,3,0
1771,lost,2,0
1772,lost,2,0
1773,lost,1,0
1774,lost,0,1
1775,won,2,0
1776,lost,0,2
1777,won,0,5
1778,lost,0,1
1779,lost,1,0
1780,lost,1,0
1781,lost,0,1
1782,lost,0,1
1783,lost,0,1
1784,lost,0,1
1785,lost,0,1
1786,lost,0,2
1787,lost,1,0
1788,lost,1,0
1789,lost,0,1
1790,lost,0,1
1791,lost,1,0
1792,lost,1,0
1793,lost,1,1
1794,won,0,4
1795,lost,0,2
1796,lost,1,0
1797,lost,0,1
1798,won,0,1
1799,lost,1,0
1800,lost,1,0
1801,lost,0,2
1802,lost,1,0
1803,lost,0,1
1804,lost,1,0
1805,lost,1,0
1806,won,1,1
1807,lost,0,1
1808,lost,4,0
1809,lost,1,0
1810,lost,1,1
1811,lost,1,0
1812,lost,0,1
1813,lost,1,0
1814,lost,0,1
1815,lost,1,0
1816,lost,1,0
1817,won,1,1
1818,lost,0,1
1819,lost,2,0
1820,lost,0,1
1821,lost,0,1
1822,lost,3,0
1823,won,4,0
1824,lost,0,1
1825,lost,1,0
1826,lost,1,0
1827,lost,0,2
1828,lost,1,1
1829,lost,0,1
1830,lost,0,1
1831,lost,1,0
1832,lost,1,0
1833,lost,2,0
1834,lost,1,0
1835,lost,0,1
1836,won,7,0
1837,lost,1,0
1838,lost,0,1
1839,lost,0,3
1840,lost,1,0
1841,lost,1,0
1842,lost,1,0
1843,lost,1,0
1844,lost,1,0
1845,lost,0,1
1846,lost,0,1
1847,lost,1,0
1848,won,0,8
1849,lost,0,1
1850,lost,0,1
1851,won,28,10
1852,lost,2,0
1853,won,0,5
1854,lost,0,1
1855,lost,1,0
1856,lost,0,2
1857,lost,0,1
1858,lost,1,2
1859,lost,2,0
1860,lost,1,0
1861,lost,0,1
1862,lost,0,1
1863,lost,1,6
1864,lost,0,1
1865,lost,1,0
1866,lost,4,0
1867,won,0,1
1868,won,6,2
1869,won,0,1
1870,lost,1,0
1871,lost,0,1
1872,lost,1,0
1873,lost,2,0
1874,won,1,0
1875,lost,1,3
1876,lost,1,0
1877,lost,0,1
1878,lost,1,0
1879,won,0,6
1880,lost,0,1
1881,won,0,2
1882,lost,0,1
1883,lost,0,2
1884,lost,0,1
1885,lost,1,0
1886,lost,0,1
1887,lost,0,1
1888,lost,2,0
1889,won,1,0
1890,lost,1,0
1891,lost,1,0
1892,won,0,2
1893,lost,3,0
1894,lost,1,0
1895,lost,0,1
1896,lost,0,1
1897,lost,0,1
1898,lost,0,1
1899,lost,0,1
1900,lost,0,1
1901,lost,0,1
1902,lost,1,0
1903,lost,1,0
1904,lost,0,1
1905,lost,1,2
1906,lost,0,1
1907,won,0,1
1908,lost,0,2
1909,lost,0,1
1910,lost,1,0
1911,lost,0,2
1912,lost,0,1
1913,lost,1,0
1914,lost,2,0
1915,lost,0,1
1916,won,1,0
1917,lost,0,1
1918,lost,0,2
1919,lost,1,0
1920,lost,0,1
1921,lost,0,1
1922,lost,0,1
1923,won,0,3
1924,won,0,1
1925,lost,0,1
1926,lost,5,0
1927,lost,1,0
1928,lost,2,0
1929,lost,0,1
1930,lost,0,1
1931,lost,0,1
1932,lost,3,0
1933,lost,0,1
1934,lost,1,0
1935,lost,2,0
1936,lost,1,0
1937,lost,0,1
1938,lost,0,1
1939,lost,0,2
1940,won,1,0
1941,lost,1,0
1942,lost,1,0
1943,lost,1,0
1944,lost,0,1
1945,lost,0,1
1946,lost,4,0
1947,lost,1,0
1948,lost,0,1
1949,lost,0,1
1950,lost,1,0
1951,lost,0,1
1952,lost,1,0
1953,won,0,2
1954,lost,0,3
1955,lost,1,0
1956,won,0,1
1957,lost,0,2
1958,lost,3,0
1959,won,0,1
1960,won,0,1
1961,lost,0,3
1962,won,1,0
1963,lost,0,1
1964,lost,0,3
1965,lost,1,1
1966,lost,1,0
1967,lost,5,0
1968,lost,0,1
1969,lost,1,0
1970,lost,1,0
1971,lost,1,0
1972,lost,0,1
1973,lost,0,1
1974,lost,0,1
1975,lost,1,0
1976,lost,0,1
1977,lost,0,1
1978,won,0,1
1979,lost,1,0
1980,lost,0,1
1981,lost,0,1
1982,lost,0,1
1983,lost,0,5
1984,lost,1,0
1985,lost,0,1
1986,lost,1,0
1987,lost,0,1
1988,won,0,41
1989,lost,0,1
1990,lost,1,0
1991,lost,2,0
1992,lost,0,1
1993,lost,1,0
1994,lost,0,1
1995,won,0,1
1996,lost,1,0
1997,lost,1,0
1998,lost,0,1
1999,lost,0,1
2000,won,0,11
2001,lost,1,0
2002,won,2,0
2003,lost,2,0
2004,lost,1,0
2005,won,1,0
2006,won,1,0
2007,lost,6,0
2008,lost,0,1
2009,won,0,1
2010,won,0,1
2011,lost,1,0
2012,won,0,7
2013,lost,0,2
2014,lost,2,0
2015,lost,1,0
2016,lost,1,0
2017,lost,2,0
2018,lost,0,1
2019,lost,0,1
2020,lost,3,0
2021,lost,3,0
2022,lost,8,0
2023,lost,0,1
2024,lost,1,0
2025,lost,0,1
2026,lost,1,0
2027,lost,1,0
