,deal_status,single_model,multi_model
363,won,0,1
364,lost,0,1
365,lost,0,1
366,lost,1,0
367,won,10,6
368,lost,1,2
369,won,0,1
370,won,6,1
371,lost,0,2
372,won,2,2
373,won,0,1
374,lost,0,1
375,lost,1,0
376,won,0,1
377,lost,2,1
378,won,0,1
379,lost,0,1
380,won,0,1
381,lost,0,2
382,lost,1,0
383,lost,0,1
384,won,1,3
385,lost,1,1
386,lost,0,1
387,lost,1,0
388,lost,1,0
389,lost,0,2
390,lost,2,3
391,lost,2,2
392,lost,0,1
393,lost,1,1
394,lost,0,1
395,won,0,1
396,lost,0,2
397,lost,0,1
398,won,2,7
399,won,4,5
400,lost,1,0
401,won,2,1
402,lost,1,2
403,lost,1,0
404,lost,0,1
405,lost,0,1
406,won,3,0
407,lost,1,0
408,won,0,1
409,won,1,4
410,lost,0,1
411,lost,2,1
412,won,0,1
413,lost,1,0
414,lost,1,1
415,lost,1,2
416,lost,1,0
417,lost,2,0
418,won,1,0
419,lost,1,1
420,won,4,2
421,won,8,6
422,lost,3,0
423,lost,1,2
424,lost,2,1
425,lost,1,1
426,lost,1,1
427,lost,0,1
428,lost,1,1
429,lost,0,1
430,lost,2,1
431,lost,1,0
432,lost,1,1
433,lost,1,1
434,lost,0,2
435,lost,1,2
436,lost,1,0
437,won,1,2
438,won,3,11
439,lost,2,1
440,won,9,2
441,lost,0,1
442,lost,0,2
443,lost,0,1
444,lost,3,1
445,lost,0,1
446,lost,1,0
447,lost,1,0
448,lost,10,4
449,lost,6,1
450,lost,1,0
451,lost,0,1
452,lost,3,2
453,lost,2,0
454,lost,0,1
455,lost,0,1
456,lost,1,0
457,lost,4,1
458,lost,0,3
459,lost,1,1
460,lost,2,0
461,lost,1,2
462,lost,1,3
463,won,2,1
464,won,3,2
465,lost,0,1
466,lost,1,0
467,lost,3,0
468,lost,1,0
469,lost,0,1
470,lost,7,1
471,won,3,3
472,lost,3,0
473,lost,0,1
474,lost,1,1
475,lost,0,1
476,lost,0,1
477,won,1,0
478,lost,0,1
479,lost,1,0
480,lost,0,1
481,lost,1,0
482,lost,1,1
483,lost,0,1
484,lost,0,1
485,lost,0,3
486,lost,1,0
487,won,3,2
488,lost,1,0
489,lost,2,0
490,lost,1,0
491,lost,0,1
492,lost,1,1
493,lost,0,1
494,lost,1,0
495,lost,4,0
496,lost,1,0
497,lost,1,1
498,lost,0,1
499,lost,1,0
500,lost,1,0
501,lost,1,0
502,lost,1,2
503,lost,0,1
504,lost,1,0
505,won,119,44
506,lost,0,1
507,lost,1,0
508,won,3,1
509,lost,1,2
510,lost,1,3
511,lost,3,0
512,lost,3,1
513,lost,0,1
514,won,1,1
515,lost,1,1
516,lost,2,2
517,lost,0,1
518,won,1,2
519,won,0,2
520,lost,1,0
521,lost,0,2
522,lost,0,1
523,lost,2,1
524,won,1,0
525,won,1,3
526,lost,0,1
527,lost,1,0
528,lost,1,0
529,lost,0,1
530,lost,3,0
531,lost,0,1
532,lost,1,0
533,lost,2,3
534,lost,0,1
535,lost,1,3
536,lost,0,2
537,won,2,2
538,lost,2,1
539,lost,1,0
540,lost,1,2
541,lost,8,2
542,lost,0,1
543,lost,1,0
544,lost,2,1
545,lost,0,1
546,won,5,3
547,lost,2,0
548,lost,1,0
549,lost,1,4
550,lost,1,0
551,won,5,24
552,lost,0,1
553,lost,0,1
554,lost,0,1
555,lost,0,2
556,lost,0,2
557,lost,0,1
558,won,0,1
559,won,3,3
560,lost,1,0
561,lost,0,1
562,lost,1,0
563,lost,0,1
564,won,8,6
565,lost,3,3
566,lost,1,1
567,lost,1,0
568,lost,2,1
569,lost,1,0
570,lost,1,1
571,lost,0,3
572,lost,1,0
573,lost,1,0
574,lost,0,1
575,lost,1,0
576,lost,1,1
577,won,76,66
578,lost,1,0
579,lost,1,2
580,lost,0,1
581,lost,0,1
582,won,0,2
583,lost,2,3
584,lost,0,1
585,lost,2,0
586,won,0,3
587,won,0,3
588,lost,0,1
589,lost,1,1
590,lost,0,2
591,lost,1,0
592,lost,1,0
593,lost,1,0
594,lost,0,2
595,lost,1,0
596,won,2,1
